date,Kidnapping/Abduction,"Sex Offenses, Forcible",Robbery,Assault Offenses,Arson,Extortion/Blackmail,Burglary/Breaking & Entering,Larceny/Theft Offenses,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud Offenses,Embezzlement,Stolen Property Offenses,Destruction/Damage/Vandalism of Property,Drug/Narcotic Offenses,"Sex Offenses, Nonforcible",Pornography/Obscene Material,Gambling Offenses,Prostitution Offenses,Bribery,Weapon Law Violations,Human Trafficking or Kidnapping/Abduction,Animal Cruelty,Homicide Offenses,Bad Checks,Curfew/Loitering/Vagrancy Violations,Disorderly Conduct,Driving Under the Influence,Drunkenness,"Family Offenses, Nonviolent",Liquor Law Violations,Peeping Tom,Runaway,Trespass of Real Property,All Other Offenses,Offense Count,week,month,year,mon_year,season,is_holiday,is_weekend,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
2010-01-01,0,13,31,58,0,0,77,215,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,416,Friday,1,2010,Jan-2010,Winter,1,0,53.9,41.3,46.9,53.9,33.0,42.3,34.0,63.0,0.0,0,0.0,none,0.0,0.0,27.8,18.0,359.3,1028.0,47.7,9.8,174.8,15.0,7.0,07:16:59,17:33:24,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-02,0,2,32,15,0,0,67,200,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,Saturday,1,2010,Jan-2010,Winter,0,1,53.7,40.1,46.3,53.7,34.9,43.1,30.9,56.9,0.0,0,0.0,none,0.0,0.0,16.1,11.6,93.7,1025.9,9.1,9.6,156.6,13.4,6.0,07:17:13,17:34:07,0.57,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-03,0,0,38,35,0,0,52,179,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,Sunday,1,2010,Jan-2010,Winter,0,1,47.4,41.1,44.8,46.5,33.8,40.8,35.6,70.2,0.0,0,0.0,none,0.0,0.0,18.3,13.4,55.4,1023.2,78.6,8.8,80.2,6.7,3.0,07:17:25,17:34:50,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-04,0,1,24,25,0,0,94,211,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,Monday,1,2010,Jan-2010,Winter,0,0,46.4,36.2,41.8,42.1,28.7,35.2,29.4,62.0,0.0,0,0.0,none,0.0,0.0,25.0,18.4,346.2,1028.6,47.6,9.6,167.4,14.5,7.0,07:17:35,17:35:35,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-05,0,3,19,22,0,0,88,183,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,337,Tuesday,1,2010,Jan-2010,Winter,0,0,48.2,31.7,38.7,47.5,24.0,34.3,23.6,56.1,0.0,0,0.0,none,0.0,0.0,16.1,9.8,22.5,1029.7,4.4,9.8,174.1,15.0,7.0,07:17:44,17:36:20,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-06,0,0,32,27,0,0,67,234,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,391,Wednesday,1,2010,Jan-2010,Winter,0,0,55.5,38.1,47.8,55.5,33.0,45.5,40.6,76.3,0.0,0,0.0,none,0.0,0.0,23.9,13.5,115.3,1021.7,77.9,9.4,104.6,9.0,5.0,07:17:51,17:37:07,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-07,0,3,35,25,0,0,78,200,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,383,Thursday,1,2010,Jan-2010,Winter,0,0,57.7,30.8,43.5,57.7,18.5,36.6,34.6,73.0,0.016,100,20.83,rain,0.0,0.0,38.7,28.6,343.3,1022.4,65.1,8.9,140.3,12.0,6.0,07:17:57,17:37:53,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-08,0,1,25,20,0,0,70,213,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,362,Friday,1,2010,Jan-2010,Winter,0,0,32.2,25.0,28.2,22.7,11.4,16.8,9.0,43.9,0.0,0,0.0,none,0.0,0.0,30.0,18.6,338.9,1032.3,13.7,9.9,124.0,10.7,6.0,07:18:00,17:38:41,0.77,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-09,0,0,27,20,0,0,72,193,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,355,Saturday,1,2010,Jan-2010,Winter,0,1,39.7,22.7,31.2,35.4,13.9,24.3,9.6,41.6,0.0,0,0.0,none,0.0,0.0,16.1,8.9,355.1,1033.4,2.0,9.9,184.8,16.1,7.0,07:18:03,17:39:29,0.81,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-10,0,4,39,16,0,0,45,178,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,321,Sunday,1,2010,Jan-2010,Winter,0,1,44.4,27.9,34.8,44.4,20.2,29.6,17.9,51.3,0.0,0,0.0,none,0.0,0.0,20.8,9.9,84.3,1035.9,0.6,9.6,185.3,16.0,7.0,07:18:03,17:40:18,0.84,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
