Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2929027,2675087,253940,8.7
2010,Feb,2939782,2691246,248536,8.5
2010,Mar,2945929,2697275,248654,8.4
2010,Apr,2979233,2738761,240472,8.1
2010,May,2971670,2732263,239407,8.1
2010,Jun,2972229,2718808,253421,8.5
2010,Jul,2991783,2736568,255215,8.5
2010,Aug,2990916,2740426,250490,8.4
2010,Sep,2991827,2747158,244669,8.2
2010,Oct,2983287,2742412,240875,8.1
2010,Nov,3003099,2752622,250477,8.3
2010,Dec,2998755,2756208,242547,8.1
2011,Jan,2995526,2739228,256298,8.6
2011,Feb,3008160,2758747,249413,8.3
2011,Mar,3016330,2770495,245835,8.2
2011,Apr,3027038,2789838,237200,7.8
2011,May,3029426,2784745,244681,8.1
2011,Jun,3044994,2778043,266951,8.8
2011,Jul,3055480,2788623,266857,8.7
2011,Aug,3050259,2794711,255548,8.4
2011,Sep,3062997,2812543,250454,8.2
2011,Oct,3058936,2826305,232631,7.6
2011,Nov,3065168,2843857,221311,7.2
2011,Dec,3065946,2850908,215038,7
2012,Jan,3055762,2833824,221938,7.3
2012,Feb,3075074,2858750,216324,7
2012,Mar,3076176,2875012,201164,6.5
2012,Apr,3077201,2886337,190864,6.2
2012,May,3094721,2892884,201837,6.5
2012,Jun,3115190,2892341,222849,7.2
2012,Jul,3126927,2904840,222087,7.1
2012,Aug,3108458,2899943,208515,6.7
2012,Sep,3122698,2928156,194542,6.2
2012,Oct,3132336,2942987,189349,6
2012,Nov,3132353,2948146,184207,5.9
2012,Dec,3138661,2948491,190170,6.1
2013,Jan,3142835,2930857,211978,6.7
2013,Feb,3156780,2957017,199763,6.3
2013,Mar,3154520,2963624,190896,6.1
2013,Apr,3164867,2981365,183502,5.8
2013,May,3174785,2982137,192648,6.1
2013,Jun,3187103,2976276,210827,6.6
2013,Jul,3197475,2991874,205601,6.4
2013,Aug,3180665,2984432,196233,6.2
2013,Sep,3189056,2995860,193196,6.1
2013,Oct,3175177,2991010,184167,5.8
2013,Nov,3197201,3019604,177597,5.6
2013,Dec,3193197,3025740,167457,5.2
2014,Jan,3193234,3015648,177586,5.6
2014,Feb,3216071,3037877,178194,5.5
2014,Mar,3224989,3054592,170397,5.3
2014,Apr,3216609,3066852,149757,4.7
2014,May,3226418,3066507,159911,5
2014,Jun,3237502,3064225,173277,5.4
2014,Jul,3256255,3077593,178662,5.5
2014,Aug,3241565,3069626,171939,5.3
2014,Sep,3245548,3086589,158959,4.9
2014,Oct,3254404,3106959,147445,4.5
2014,Nov,3260053,3113488,146565,4.5
2014,Dec,3247682,3112665,135017,4.2
2015,Jan,3250039,3097662,152377,4.7
2015,Feb,3254144,3107731,146413,4.5
2015,Mar,3247163,3105158,142005,4.4
2015,Apr,3254721,3120272,134449,4.1
2015,May,3258415,3114894,143521,4.4
2015,Jun,3260297,3102566,157731,4.8
