name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Houston,TX",2007-01-01,57,39.9,47.6,57,36,45.3,33.2,59.4,0,0,0,,0,0,,12.1,343.4,1025.2,0.5,9.4,,,,,2007-01-01T07:16:56,2007-01-01T17:33:12,0.43,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-02,57.2,37,45.7,57.2,32,43.7,34.4,66.6,0,0,0,,0,0,,9.7,40.4,1026.6,30.2,9.9,,,,,2007-01-02T07:17:10,2007-01-02T17:33:55,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-03,52.5,42.5,48.8,52.5,39.9,48.2,41.7,76.7,0.071,100,41.67,rain,0,0,,12.8,73,1023.4,89,8.5,,,,,2007-01-03T07:17:23,2007-01-03T17:34:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-04,56.2,51,54.1,56.2,51,54.1,51.5,90.7,1.601,100,62.5,rain,0,0,30,12.5,224.5,1012,97.4,6.3,,,,,2007-01-04T07:17:34,2007-01-04T17:35:23,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-05,71.7,52,59.8,71.7,52,59.8,53.3,80.9,0.007,100,8.33,rain,0,0,,11.6,211.8,1009.2,62,6.6,,,,,2007-01-05T07:17:43,2007-01-05T17:36:08,0.57,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-06,65.1,59.8,61.8,65.1,59.8,61.8,58.8,90.1,0.013,100,16.67,rain,0,0,,12.3,33.1,1014.5,98.8,2.9,,,,,2007-01-06T07:17:50,2007-01-06T17:36:54,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-07,65.4,51.5,57,65.4,51.5,57,45,66.8,0.007,100,12.5,rain,0,0,30,13.8,327.6,1020.1,57.4,8.6,,,,,2007-01-07T07:17:56,2007-01-07T17:37:41,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-08,62.3,38.1,49.6,62.3,38.1,48.3,29.5,49.8,0,0,0,,0,0,,7.8,308.1,1027.2,22.9,9.9,,,,,2007-01-08T07:18:01,2007-01-08T17:38:28,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-09,68.2,40.5,52.2,68.2,40.5,52,35.1,57.2,0,0,0,,0,0,,14.2,21.9,1031,42.8,9.9,,,,,2007-01-09T07:18:03,2007-01-09T17:39:16,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-10,65.8,40.9,52.9,65.8,40.9,52.9,41.4,66.2,0,0,0,,0,0,,15.1,124.3,1027.2,44.9,9.9,,,,,2007-01-10T07:18:04,2007-01-10T17:40:05,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
