date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2021-01-01,41.0,55.0,0.0,10.0,8.0,65.0,51.0,29.98,29.95,Fair,Mostly Cloudy,44.0,55.0,No,No
2021-01-02,41.0,59.0,0.0,12.0,7.0,68.0,42.0,30.18,30.09,Partly Cloudy,Fair,45.0,58.0,No,No
2021-01-03,43.0,68.0,0.0,9.0,13.0,66.0,37.0,30.13,30.01,Partly Cloudy,Fair,54.0,68.0,No,No
2021-01-04,49.0,75.0,0.0,0.0,3.0,93.0,43.0,30.06,29.99,Fair,Fair,57.0,75.0,No,No
2021-01-05,51.0,69.0,0.0,10.0,13.0,55.0,38.0,30.14,30.04,Fair,Fair,59.0,69.0,No,Yes
2021-01-06,54.0,75.0,1.0,10.0,24.0,87.0,53.0,29.98,29.77,Cloudy,Mostly Cloudy / Windy,64.0,75.0,Yes,No
2021-01-07,45.0,60.0,0.0,16.0,16.0,61.0,47.0,30.02,29.99,Fair,Partly Cloudy,51.0,60.0,No,No
2021-01-08,42.0,53.0,0.0,10.0,12.0,71.0,52.0,30.27,30.21,Mostly Cloudy,Mostly Cloudy,49.0,53.0,No,No
2021-01-09,38.0,56.0,0.0,7.0,7.0,73.0,47.0,30.33,30.2,Fair,Partly Cloudy,44.0,56.0,No,Yes
2021-01-10,37.0,48.0,1.5000000000000002,18.0,18.0,80.0,89.0,30.2,30.09,Light Rain,Rain,43.0,40.0,Yes,No
2021-01-11,36.0,46.0,0.0,13.0,17.0,79.0,58.0,30.36,30.29,Mostly Cloudy,Mostly Cloudy,38.0,46.0,No,No
2021-01-12,34.0,51.0,0.0,3.0,3.0,76.0,48.0,30.39,30.29,Haze,Cloudy,39.0,51.0,No,No
2021-01-13,39.0,60.0,0.0,7.0,8.0,76.0,39.0,30.24,30.08,Fair,Fair,43.0,60.0,No,No
2021-01-14,41.0,74.0,0.0,9.0,20.0,83.0,31.0,29.91,29.79,Fair,Fair,52.0,72.0,No,No
2021-01-15,45.0,46.0,0.0,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,No,No
2021-01-16,41.0,61.0,0.0,6.0,12.0,37.0,18.0,30.15,30.01,Haze,Fair,47.0,61.0,No,No
2021-01-17,41.0,69.0,0.0,5.0,10.0,50.0,18.0,30.09,30.01,Fair,Fair,50.0,68.0,No,No
2021-01-18,42.0,70.0,0.0,7.0,14.0,72.0,52.0,30.06,29.98,Fair,Mostly Cloudy,56.0,68.0,No,No
2021-01-19,61.0,76.0,0.0,12.0,13.0,65.0,51.0,30.13,30.16,Mostly Cloudy,Partly Cloudy,68.0,75.0,No,No
2021-01-20,59.0,64.0,0.0,7.0,13.0,93.0,84.0,30.26,30.13,Fog,Haze,60.0,64.0,No,No
2021-01-21,61.0,71.0,0.0,5.0,9.0,93.0,87.0,30.02,29.89,Fog,Cloudy,65.0,70.0,No,No
2021-01-22,63.0,71.0,0.0,5.0,6.0,90.0,78.0,29.9,29.86,Cloudy,Cloudy,67.0,69.0,No,No
2021-01-23,61.0,66.0,0.0,7.0,13.0,93.0,87.0,30.02,29.92,Light Drizzle,Cloudy,61.0,64.0,No,No
2021-01-24,61.0,79.0,0.0,6.0,16.0,93.0,74.0,29.92,29.82,Fog,Cloudy,67.0,76.0,No,No
2021-01-25,68.0,81.0,0.0,6.0,12.0,87.0,46.0,29.71,29.63,Light Rain,Cloudy,72.0,77.0,No,No
2021-01-26,61.0,77.0,0.0,7.0,10.0,45.0,26.0,29.82,29.75,Cloudy,Mostly Cloudy,69.0,77.0,No,No
2021-01-27,51.0,68.0,0.0,15.0,22.0,39.0,22.0,30.12,30.16,Mostly Cloudy,Mostly Cloudy / Windy,61.0,68.0,No,No
2021-01-28,43.0,62.0,0.0,13.0,0.0,61.0,35.0,30.52,30.4,Partly Cloudy,Partly Cloudy,46.0,59.0,No,No
2021-01-29,45.0,64.0,0.0,8.0,14.0,74.0,58.0,30.3,30.15,Fair,Partly Cloudy,52.0,64.0,No,No
2021-01-30,58.0,76.0,0.0,9.0,18.0,76.0,68.0,29.89,29.8,Cloudy,Light Rain,67.0,73.0,No,No
2021-01-31,52.0,70.0,0.0,15.0,21.0,38.0,31.0,30.05,30.09,Fair,Fair / Windy,61.0,69.0,No,No
